obs_id,train_id,delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
id_000001,train,15,4,14,6,22,21,CLT,GSO,83,YV
id_000002,train,0,5,26,6,13,11,DCA,MLB,769,EV
id_000003,train,0,7,19,4,22,21,DTW,CLE,95,NW
id_000004,test,NA,12,9,7,22,20,OAK,SEA,671,WN
id_000005,train,15,3,27,2,14,12,LAS,PHX,256,US
id_000006,test,NA,11,7,3,16,8,OAK,IAD,2408,B6
id_000007,test,NA,12,12,3,21,15,DEN,MIA,1709,UA
id_000008,valid,90,8,18,6,19,17,PHL,MSP,980,NW
id_000009,valid,0,8,16,4,12,9,LAX,DEN,862,UA
id_000010,train,15,1,6,6,12,11,MSP,HDN,774,NW
id_000011,train,0,3,14,3,21,20,BOS,PHL,280,US
id_000012,train,60,3,7,3,14,13,EWR,BUF,282,XE
id_000013,valid,15,8,9,4,12,11,BOS,LGA,185,DL
id_000014,train,0,5,1,2,7,6,DTW,DCA,405,NW
id_000015,valid,0,10,30,2,21,19,RNO,LAX,390,XE
id_000016,train,0,6,19,2,14,12,BWI,IAH,1235,CO
id_000017,valid,45,9,17,1,10,9,LAS,SNA,226,US
id_000018,test,NA,12,14,5,15,11,BOS,PBI,1197,B6
id_000019,train,15,5,16,3,15,13,DFW,MOB,540,MQ
id_000020,valid,15,10,2,2,17,16,OKC,LAX,1187,OO
id_000021,test,NA,12,17,1,20,20,DEN,ASE,125,OO
id_000022,train,165,3,23,5,18,17,ATL,MDW,590,EV
id_000023,valid,45,8,16,4,11,9,BWI,DFW,1217,FL
id_000024,train,0,2,24,6,11,9,ATL,MTJ,1352,DL
id_000025,train,0,4,30,1,15,14,KOA,HNL,163,YV
id_000026,train,0,5,31,4,13,10,MSP,BOS,1124,NW
id_000027,train,0,1,18,4,16,15,IAH,TUL,429,XE
id_000028,train,0,5,15,2,10,7,IND,MIA,1021,MQ
id_000029,test,NA,11,25,7,22,21,ATL,IAH,689,DL
id_000030,train,45,5,3,4,12,11,DAL,IAH,217,XE
id_000031,train,0,6,29,5,12,11,HSV,MEM,184,9E
id_000032,train,0,8,7,2,16,14,LAX,PHX,370,WN
id_000033,train,60,6,29,5,18,13,ANC,SEA,1449,AS
id_000034,train,0,3,21,3,16,13,ATL,TTN,701,OH
id_000035,test,NA,10,9,2,18,10,LGB,JFK,2465,B6
id_000036,valid,30,8,23,4,20,17,LIT,DTW,705,9E
id_000037,valid,15,10,1,1,11,9,PHX,ABQ,328,WN
id_000038,train,15,2,15,4,22,19,LAX,COS,833,OO
id_000039,valid,0,9,30,7,20,19,ATL,SAN,1891,DL
id_000040,train,0,6,5,2,17,16,STL,MDW,251,WN
id_000041,test,NA,10,2,2,8,7,SAT,DFW,247,AA
id_000042,valid,15,8,30,4,12,9,LIT,ATL,453,EV
id_000043,valid,90,10,28,7,14,13,CEC,SFO,304,OO
id_000044,train,30,7,5,4,21,21,ATL,MOB,302,EV
id_000045,train,0,7,8,7,8,7,FCA,SLC,532,OO
id_000046,valid,0,10,5,5,11,9,CLT,JAX,329,US
id_000047,train,15,1,7,7,6,6,RDM,PDX,116,OO
id_000048,train,15,6,6,3,18,16,MOT,MSP,449,NW
id_000049,valid,15,9,13,4,18,17,JAN,DFW,408,MQ
id_000050,valid,0,9,14,5,16,13,MDW,LAX,1750,WN
id_000051,train,0,6,23,6,16,13,MIA,DTW,1145,NW
id_000052,test,NA,11,12,1,19,17,EWR,ORD,719,UA
id_000053,train,0,6,16,6,13,12,CIC,SFO,153,OO
id_000054,train,15,3,21,3,13,9,EWR,STT,1634,CO
id_000055,train,15,1,7,7,13,7,DEN,MIA,1709,AA
id_000056,train,0,2,15,4,18,17,CLT,IND,428,YV
id_000057,train,15,4,24,2,16,13,DFW,TPA,929,AA
id_000058,train,0,7,12,4,14,12,PBI,CLE,1020,XE
